startTime,endTime,aveH,aveV
3466963,3467183,832.299987792969,512.700012207031
3467201,3467709,850.299987792969,547
3467723,3467753,730.799987792969,539.099975585938
3468119,3468433,401.5,476.899993896484
3468441,3468695,620.200012207031,521.599975585938
3468953,3469121,794.299987792969,705.700012207031
3469197,3469541,1450.19995117188,1366.59997558594
3469577,3469905,1004.79998779297,1531.09997558594
3469977,3470183,1625.59997558594,1293.09997558594
3470229,3470439,2103.30004882813,998.099975585938
3470469,3470627,1916.30004882813,1043.59997558594
3470693,3470853,789.299987792969,692.200012207031
3470867,3471025,790.700012207031,631.599975585938
3471285,3471509,825.5,617.200012207031
3471519,3471879,816.799987792969,566.299987792969
3472413,3472755,952.200012207031,563.200012207031
3473073,3473283,991.799987792969,529.400024414063
3473305,3473833,1159.30004882813,574.299987792969
3473873,3474023,874.200012207031,667.799987792969
3474039,3474801,810.900024414063,586.099975585938
3474827,3475375,956.799987792969,621.400024414063
3475733,3475765,1059.90002441406,1309.19995117188
3475773,3475823,993,1159.69995117188
3475873,3475921,946.5,1021.20001220703
3476077,3476103,1026,1037.69995117188
3476127,3476179,1018.09997558594,1016.70001220703
3476195,3476293,1017,968.5
3476319,3476445,1008.79998779297,915.700012207031
3476457,3476717,991.200012207031,858.799987792969
3476837,3476877,1001.29998779297,861.400024414063
3476943,3476981,942.599975585938,841.099975585938
3477087,3477109,964.200012207031,848.200012207031
3477143,3477287,938.400024414063,858.400024414063
3477299,3477335,934.700012207031,850.200012207031
3477351,3477423,920.5,845.599975585938
3477441,3477473,926.700012207031,851.799987792969
3477485,3477571,935.400024414063,888.5
3477583,3477685,921.099975585938,854.200012207031
3477727,3478109,862.299987792969,732.5
3478145,3478263,943.400024414063,1139.90002441406
3478273,3478313,889.700012207031,948.599975585938
3478335,3478397,879.900024414063,845.700012207031
3478425,3478529,818.400024414063,748.299987792969
3478567,3478599,806.099975585938,654.099975585938
3478643,3478673,821.200012207031,654.200012207031
3479153,3479425,752.099975585938,607.799987792969
3479445,3479715,689.299987792969,596.5
3479731,3480003,596.299987792969,582.599975585938
3480033,3480371,881.099975585938,634.200012207031
3480639,3480911,817.700012207031,629.700012207031
3480933,3481313,754.299987792969,656
3481329,3481629,731.5,673.900024414063
3481651,3481679,648.400024414063,651.700012207031
3482115,3482155,1023.5,1188.09997558594
3482171,3482281,1011.20001220703,830.599975585938
3482289,3483237,1001.70001220703,606.900024414063
3483671,3483771,1215.19995117188,974.099975585938
3483785,3483903,1261.09997558594,713
3483927,3484661,868.599975585938,490.600006103516
3485153,3486857,485.799987792969,476.399993896484
3487049,3487277,876.5,589.400024414063
3487303,3487811,763.599975585938,557.799987792969
3487943,3489111,973.5,651.400024414063
3489357,3490035,892.5,676.299987792969
3490061,3490373,804.400024414063,673.5
3490397,3490541,675.700012207031,655
3490823,3491009,735.900024414063,653.400024414063
3491035,3491491,914.5,679.400024414063
3491829,3492889,895.200012207031,675.5
3493225,3494315,708.200012207031,620.200012207031
3494651,3494919,839.799987792969,622.099975585938
3494945,3495097,925.799987792969,454
3495119,3495357,914.700012207031,381.299987792969
3495375,3495611,943,314.600006103516
3495629,3495855,902,281
3495867,3496511,935.700012207031,283
3496753,3496783,881.900024414063,271.5
3496807,3497065,914.299987792969,324.600006103516
3497083,3498163,928.299987792969,304
3498405,3499007,906,289.600006103516
3499025,3499265,890.299987792969,284.799987792969
3499273,3499729,912.799987792969,316.299987792969
3499753,3499959,858.099975585938,319.200012207031
3499971,3501175,902.599975585938,342.399993896484
3501359,3502453,892.099975585938,467.100006103516
3502683,3503995,876.599975585938,465.899993896484
3504265,3506981,855.299987792969,488.399993896484
3506991,3507089,818.599975585938,451.600006103516
3507529,3507925,809.099975585938,444.5
3507933,3507993,783.099975585938,516.400024414063
3508363,3508705,885.099975585938,387
3508717,3508795,1028,494.200012207031
3509237,3509859,978.900024414063,336.100006103516
3509875,3510113,946.099975585938,291.700012207031
3510421,3510709,639.099975585938,500.700012207031
3510725,3510961,468.799987792969,601.700012207031
3511007,3511203,612.799987792969,784.400024414063
3511253,3511379,857.599975585938,726.200012207031
3511413,3511861,965.400024414063,427.600006103516
3511885,3512397,870.299987792969,366.399993896484
3512599,3512633,841.799987792969,385.600006103516
3512641,3513109,902.700012207031,436.799987792969
3513133,3513311,883.5,394.200012207031
3513327,3513477,935.900024414063,374.399993896484
3513495,3513563,825.5,413.899993896484
3513605,3513641,624.700012207031,851.900024414063
3513689,3514355,753.5,715.099975585938
3514387,3514411,821.599975585938,535.700012207031
3514931,3515223,772.599975585938,411.200012207031
3515565,3515743,734.900024414063,331.5
3515759,3516079,847.799987792969,288.899993896484
3516095,3516755,918.900024414063,307.799987792969
3516777,3517587,872.700012207031,358.100006103516
3517595,3517845,891.700012207031,386.200012207031
3518079,3518471,853.5,389.799987792969
3518711,3519015,918.299987792969,456.100006103516
3519037,3521117,888.400024414063,398.399993896484
3521345,3521445,866.5,759.200012207031
3521463,3521557,902,474.200012207031
3521583,3522719,868.799987792969,380.200012207031
3522961,3523069,844.799987792969,492.200012207031
3523097,3524037,836.799987792969,384.399993896484
3524053,3524169,778,458.299987792969
3524191,3524443,852.599975585938,429.100006103516
3524463,3524591,785.799987792969,453.100006103516
