startTime,endTime,aveH,aveV
14422183,14422639,956.099975585938,552.400024414063
14422667,14422941,785.700012207031,549.400024414063
14422975,14423199,903.5,564.799987792969
14423231,14423417,1004,557.099975585938
14423443,14423759,870.299987792969,552.299987792969
14423793,14424415,992,554.599975585938
14424441,14424697,743.099975585938,563
14424707,14424941,753.799987792969,533.299987792969
14425061,14425277,220.800003051758,1102.69995117188
14425307,14425489,517.700012207031,1191.5
14425555,14425723,875.900024414063,566
14425749,14425997,1005.5,520.599975585938
14426017,14426221,956.700012207031,525.799987792969
14426251,14426439,749.299987792969,514.299987792969
14426513,14426633,1640.5,1186.40002441406
14426661,14427223,1878.90002441406,1090.30004882813
14427267,14427575,2332.10009765625,915.700012207031
14427593,14428417,2254.60009765625,938.5
14428517,14428591,938.900024414063,777.5
14428619,14428883,910.799987792969,541.700012207031
14428909,14429489,738.5,507.299987792969
14429531,14429777,986.799987792969,521.700012207031
14429797,14430159,923.200012207031,524.599975585938
14430287,14430797,879.200012207031,515.799987792969
14430817,14431133,788.400024414063,540.700012207031
14431157,14431577,940.799987792969,533.400024414063
14431723,14431917,844.900024414063,537.599975585938
14431941,14432255,744.900024414063,510.299987792969
14432283,14432595,955.400024414063,517.400024414063
14432617,14432883,1017,520.5
14432907,14433323,901.5,512.599975585938
14433347,14433901,1024.69995117188,524.200012207031
14434045,14434303,921.599975585938,528.400024414063
14434329,14434663,714,537.299987792969
14434687,14435075,764.099975585938,542.5
14435099,14435875,964.200012207031,546.400024414063
14435893,14436241,1030.59997558594,544.099975585938
14436261,14436577,910.400024414063,550
14436603,14436903,753.700012207031,544.099975585938
14436927,14437397,791.200012207031,539.299987792969
14437417,14437689,737.099975585938,533.599975585938
14437719,14438103,1000.70001220703,536.799987792969
14438125,14438555,906.299987792969,533.700012207031
14438573,14438855,851.400024414063,544.599975585938
14438973,14439159,862.5,540.700012207031
14439173,14439613,874.099975585938,523
14439625,14439859,837.900024414063,515.099975585938
14439887,14440301,1006.5,537.599975585938
14440323,14440431,920.599975585938,520.599975585938
14440579,14440763,813.5,494.399993896484
14440785,14440989,727.299987792969,494.100006103516
14441149,14441405,797.200012207031,483.799987792969
14441537,14441769,848.099975585938,483.399993896484
14441791,14442077,957.299987792969,492.700012207031
14442103,14442505,806,488
14442531,14442729,682.200012207031,509.100006103516
14442771,14442941,340.100006103516,1150.90002441406
14442963,14443121,177,1081.59997558594
14443151,14443275,448,1170.09997558594
14443435,14443615,835.900024414063,503.100006103516
14443639,14443663,781.5,474.200012207031
14443825,14443907,759,460
14444069,14444323,713.700012207031,462.5
14444461,14444885,962.299987792969,504.200012207031
14444901,14445231,884.900024414063,481
14445251,14445563,777.200012207031,494.799987792969
14445579,14445669,769.599975585938,520.799987792969
14445695,14445727,768.299987792969,537.900024414063
14445749,14445887,770.900024414063,539.099975585938
14445915,14446125,775.400024414063,553.400024414063
14446143,14446199,778,546.900024414063
14446215,14446341,778.299987792969,571.700012207031
14446359,14446535,780.900024414063,584.799987792969
14446543,14446627,785.599975585938,603.400024414063
14446815,14447063,824.799987792969,487.399993896484
14447089,14447265,982.299987792969,530.599975585938
14447277,14447453,982.900024414063,539.900024414063
14447509,14447845,920.900024414063,522.5
14447865,14447897,918.400024414063,528.900024414063
14447913,14447947,913,534.599975585938
14447971,14448125,915.299987792969,529.5
14448155,14448191,694.099975585938,510.799987792969
14448205,14448323,689,523.400024414063
14448333,14448371,683.599975585938,532.200012207031
14448431,14448461,679.599975585938,523.700012207031
14448485,14448549,678.599975585938,548.5
14448581,14448643,772.5,567.299987792969
14448753,14448781,768.400024414063,616.700012207031
14448957,14449185,856,603.200012207031
14449203,14449233,850.900024414063,606.900024414063
14449293,14449319,851.799987792969,628
14449357,14449425,855.5,599.200012207031
14449497,14449583,854.799987792969,606.400024414063
14449613,14449641,685.099975585938,602.200012207031
14449977,14450021,697.299987792969,542.5
14450067,14450493,961.099975585938,538
14450501,14450869,939.799987792969,529.299987792969
14450905,14451071,661.299987792969,482.200012207031
14451091,14451247,709.799987792969,502
14451395,14451599,754.099975585938,475.100006103516
14451619,14451899,706.900024414063,473.200012207031
14451923,14452275,837.299987792969,496.5
14452299,14452593,941.799987792969,513.700012207031
14452615,14453021,805,521.799987792969
14453045,14453411,697.5,510.700012207031
14453461,14453679,1034.30004882813,540.099975585938
